Mimi Leder,51984,1,8656
Dean Parisot,15002,2,146216
Peter Segal,13426,2,9291
Mike Mitchell,64151,2,55301
Dennis Dugan,17494,2,109418
Peter Segal,13426,2,11665
Nancy Meyers,17698,1,6964
Martin Scorsese,1032,2,11324
Seth Gordon,71600,2,12193
Chris Wedge,5713,2,9928
Carlos Saldanha,5714,2,9928
John Woo,11401,2,754
Adam Shankman,20739,2,10202
Sam Mendes,39,2,4147
Dennis Dugan,17494,2,50546
Simon West,12786,2,1701
D.J. Caruso,40256,2,13027
Anthony Minghella,2239,2,2289
Albert Hughes,11447,2,20504
Allen Hughes,11448,2,20504
Les Mayfield,56911,0,9574
Jan de Bont,2209,2,11618
Joe Pytka,23677,2,2300
Shawn Levy,17825,2,12096
Scott Derrickson,55499,2,10200
Richard Donner,7187,2,8834
David Ayer,19769,0,228150
Ivan Reitman,8858,2,6068
Eric Brevig,9622,2,41515
Kelly Asbury,12079,2,9023
Lorna Cook,56660,1,9023
Frank Coraci,57370,2,38317
Stephen Hopkins,2042,2,2157
Jonathan Demme,16294,2,14462
Henry Jaglom,117075,2,161795
Genndy Tartakovsky,185438,0,159824
James Algar,5690,2,49948
Don Hahn,12824,2,49948
Gaëtan Brizzi,56146,0,49948
Paul Brizzi,56147,0,49948
Eric Goldberg,65531,2,49948
Hendel Butoy,74297,0,49948
Francis Glebas,74298,0,49948
Pixote Hunt,74299,0,49948
Simon Wells,21879,2,2135
Ron Underwood,33485,2,9822
Dominic Sena,58498,2,9705
Martin Campbell,10702,2,1656
Vincent Ward,9198,0,12159
Steven Brill,32593,2,9678
Terry Gilliam,280,2,4442
Tim Burton,510,2,75
Lucile Hadzihalilovic,17627,0,330770
Lee Tamahori,7256,2,9433
Jonathan Mostow,7213,2,19959
Roger Donaldson,21370,2,11973
Rob Cohen,18878,2,11228
Barry Cook,66191,2,77951
Neil Nightingale,561061,0,77951
Roger Christian,5058,2,5491
Joe Dante,4600,2,10715
Rob Marshall,17633,2,10197
Richard Donner,7187,2,9562
Kevin Costner,1269,2,9922
George Miller,20629,2,9447
Breck Eisner,52609,2,274854
Antony Hoffman,56154,2,8870
Luc Besson,59,2,9992
Jacques Perrin,20030,2,36970
Jacques Cluzaud,138857,0,36970
